Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_type,owner_type,size,subscribers_count,watchers_count,languages,full_name,distros_present,exclusion_reasons
cartographer,ros2,Cartographer is a system that provides real-time simultaneous localization and mapping (SLAM) in 2D and 3D across multiple platforms and sensor configurations.,https://github.com/ros2/cartographer,5956,132,43,5,,Apache-2.0,True,True,False,True,False,True,good first issue,49,1188,2016-08-02T07:07:31Z,290,30436,0,docs,Organization,5956,13,132,C++;CMake;Starlark;Shell;Lua;Python;XSLT;Batchfile;C,ros2/cartographer,humble|jazzy|kilted,inactive_6mo;is_fork
clearpath_mecanum_drive_controller-release,clearpath-gbp,,https://github.com/clearpath-gbp/clearpath_mecanum_drive_controller-release,57,0,1,0,,,True,False,False,False,False,True,good first issue,1,1,2024-08-13T16:06:53Z,1,1,0,docs,Organization,57,3,0,,clearpath-gbp/clearpath_mecanum_drive_controller-release,humble,inactive_6mo;no_programming_languages
clearpath_ros2_socketcan_interface,clearpathrobotics,,https://github.com/clearpathrobotics/clearpath_ros2_socketcan_interface,57,0,1,0,,BSD-3-Clause,True,False,False,False,False,True,good first issue,5,48,2024-09-23T15:20:35Z,1,28,0,code,Organization,57,2,0,Python;C++;CMake;C,clearpathrobotics/clearpath_ros2_socketcan_interface,humble|jazzy,inactive_6mo
clips_vendor,carologistics,ROS 2 vendor package for the rule-based production system clips.,https://github.com/carologistics/clips_vendor,72212,1,0,0,,MIT-0,True,False,False,False,False,True,good first issue,2,39,2024-08-18T01:26:36Z,3,834,0,docs,Organization,72212,3,1,CMake;Python,carologistics/clips_vendor,humble|jazzy|kilted,inactive_6mo
coin_d4_driver,ROBOTIS-GIT,ROS package for LDS-03 (COIN-D4) Lidar,https://github.com/ROBOTIS-GIT/coin_d4_driver,173,2,1,1,,Apache-2.0,True,True,False,False,False,False,,3,44,2025-05-14T07:51:48Z,2,202,0,docs,Organization,173,3,2,C++;Python;CMake,ROBOTIS-GIT/coin_d4_driver,humble|jazzy|kilted,inactive_6mo
console_bridge_vendor,ros2,CMake shim over the console_bridge library: https://github.com/ros/console_bridge.git,https://github.com/ros2/console_bridge_vendor,49,1,10,0,,Apache-2.0,True,True,False,False,False,True,good first issue,16,53,2018-07-05T15:30:47Z,2,203,0,docs,Organization,49,20,1,C++;CMake,ros2/console_bridge_vendor,humble|jazzy|kilted,inactive_6mo
control_box_rst,rst-tu-dortmund,"The control_box_rst package provides C++ libraries for predictive control, direct optimal control, optimization and simulation.",https://github.com/rst-tu-dortmund/control_box_rst,2615,64,24,2,model-predictive-control;mpc;optimal-control;optimization;ros;trajectory-optimization,GPL-3.0,True,False,False,False,False,True,good first issue,3,43,2020-02-19T16:38:25Z,300,359892,0,docs,Organization,2615,5,64,C++;CMake;C,rst-tu-dortmund/control_box_rst,humble|jazzy|kilted,inactive_6mo
cudnn_cmake_module,tier4,,https://github.com/tier4/cudnn_cmake_module,7,2,2,0,,Apache-2.0,True,True,False,False,False,True,good first issue,0,4,2022-01-17T19:20:42Z,7,284,0,docs,Organization,7,3,2,CMake,tier4/cudnn_cmake_module,humble|jazzy|kilted,inactive_6mo
depthimage_to_laserscan,ros-perception,Converts a depth image to a laser scan for use with navigation and localization.,https://github.com/ros-perception/depthimage_to_laserscan,95,290,184,24,,BSD-3-Clause,True,True,False,False,False,False,,11,83,2012-12-05T18:16:18Z,1,4,0,docs,Organization,95,16,290,C++;CMake;Python,ros-perception/depthimage_to_laserscan,humble|jazzy|kilted,inactive_6mo
digestible,tier4,A modern C++ implementation of a merging t-digest data structure.,https://github.com/tier4/digestible,636,0,0,0,,Apache-2.0,True,False,False,False,False,True,good first issue,6,26,2019-08-28T00:14:02Z,2,202,0,docs,Organization,636,0,0,C++;CMake,tier4/digestible,humble,inactive_6mo;is_fork
domain_bridge,ros2,Bridge communication across different ROS 2 domains.,https://github.com/ros2/domain_bridge,270,82,19,19,,Apache-2.0,True,True,False,False,False,True,good first issue,8,58,2021-02-24T02:15:46Z,1,201,0,code,Organization,270,19,82,C++;CMake;Python;NASL,ros2/domain_bridge,humble|jazzy|kilted,inactive_6mo
doom_ros,gstavrinos,Doom can run anywhere. Now it runs on ROS too.,https://github.com/gstavrinos/doom_ros,28609,39,3,0,,GPL-2.0,True,False,False,False,False,True,good first issue,3,18,2025-01-15T22:24:50Z,3,373,0,docs,User,28609,1,39,Python;Dockerfile;CMake,gstavrinos/doom_ros,humble|jazzy|kilted,inactive_6mo
dual_laser_merger,pradyum,ros2 package to merge dual laser scans,https://github.com/pradyum/dual_laser_merger,21938,18,10,0,lidar;lidar-point-cloud;robotics;ros2;ros2-humble;ros2-jazzy;ros2-rolling,Apache-2.0,True,True,False,False,False,True,good first issue,1,64,2024-11-05T18:26:49Z,2,202,0,docs,User,21938,2,18,C++;Python;CMake,pradyum/dual_laser_merger,humble|jazzy|kilted,inactive_6mo
dynamixel_hardware,dynamixel-community,ros2_control packages for ROBOTIS Dynamixel,https://github.com/dynamixel-community/dynamixel_hardware,1384,153,80,31,cpp;dynamixel;robotics;robotis;ros2;ros2-control;ros2-foxy;ros2-humble;ros2-rolling,Apache-2.0,True,False,False,False,False,True,good first issue,7,177,2021-01-22T07:20:12Z,3,235,0,docs,Organization,1384,5,153,C++;C;CMake,dynamixel-community/dynamixel_hardware,humble|jazzy|kilted,inactive_6mo
dynamixel_interfaces,ROBOTIS-GIT,Provides interfaces (msgs) for the dynamixel_hardware_interface.,https://github.com/ROBOTIS-GIT/dynamixel_interfaces,27,2,6,0,,Apache-2.0,True,True,False,False,False,False,,4,14,2024-12-11T02:47:32Z,2,203,0,docs,Organization,27,3,2,CMake,ROBOTIS-GIT/dynamixel_interfaces,humble|jazzy|kilted,inactive_6mo
