Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_type,owner_type,size,subscribers_count,watchers_count,languages,full_name,distros_present
septentrio_gnss_driver,septentrio-gnss,ROS 1 & 2 driver for Septentrio GNSS & INS receivers,https://github.com/septentrio-gnss/septentrio_gnss_driver,53779,118,57,39,automation;gnss;inertial-navigation-systems;robotics;ros,BSD-3-Clause,True,False,False,False,False,True,good first issue,10,1250,2020-08-28T16:21:07Z,300,67277,0,docs,Organization,53779,7,118,C++;CMake;Python;C,septentrio-gnss/septentrio_gnss_driver,humble|jazzy|kilted
sick_safetyscanners2,SICKAG, ROS2 driver for SICK safety laser scanners ,https://github.com/SICKAG/sick_safetyscanners2,1836,32,44,10,driver;laserscanner;microscan3;nanoscan3;outdoorscan3;ros-api;ros-driver;rosdistro;safety-laser-scanner;safety-laserscanner;sensor;sick-ag;sick-safety-scanners;sick-safetyscanners,Apache-2.0,True,False,False,False,False,True,good first issue,7,117,2020-11-30T09:43:38Z,3,72,0,docs,Organization,1836,8,32,C++;Python;CMake,SICKAG/sick_safetyscanners2,humble|jazzy|kilted
sick_safetyscanners2_interfaces,SICKAG,Interfaces for the ROS2 driver for SICK safety laser scanners,https://github.com/SICKAG/sick_safetyscanners2_interfaces,15,3,12,0,driver;laserscanner;microscan3;nanoscan3;outdoorscan3;ros-api;ros-driver;rosdistro;safety-laser-scanner;safety-laserscanner;sensor;sick-ag;sick-safety-scanners;sick-safetyscanners,Apache-2.0,True,False,False,False,False,True,good first issue,3,16,2020-12-02T16:56:40Z,3,70,0,docs,Organization,15,4,3,CMake,SICKAG/sick_safetyscanners2_interfaces,humble|jazzy|kilted
sick_safetyscanners_base,SICKAG,CPP (C++) Driver for SICK safety laser scanners,https://github.com/SICKAG/sick_safetyscanners_base,1852,18,36,4,driver;laserscanner;microscan3;nanoscan3;outdoorscan3;safety-laser-scanner;safety-laserscanner;sensor;sick-ag;sick-safety-scanners;sick-safetyscanners,Apache-2.0,True,False,False,False,False,True,good first issue,8,367,2018-08-20T14:02:26Z,4,255,0,docs,Organization,1852,6,18,C++;CMake;C,SICKAG/sick_safetyscanners_base,humble|jazzy|kilted
sick_safevisionary_base,SICKAG,C++ driver for SICK safeVisionary 3D cameras,https://github.com/SICKAG/sick_safevisionary_base,380,5,2,0,,Apache-2.0,True,False,False,False,False,True,good first issue,4,20,2023-06-05T06:13:02Z,64,14907,0,docs,Organization,380,3,5,C++;C;CMake,SICKAG/sick_safevisionary_base,humble|jazzy|kilted
sick_scan_xd,SICKAG,"A versatile driver for a wide range of SICK LiDAR and RADAR devices, providing support for both Linux (native, ROS 1, ROS 2) and Windows (native, ROS 2) platforms.",https://github.com/SICKAG/sick_scan_xd,91217,162,116,1,ldmrs;lms;lrs;mrs;rms;tim,Apache-2.0,True,True,False,False,False,True,good first issue,13,264,2021-10-18T10:36:01Z,1,1,0,docs,Organization,91217,13,162,C++;Python;Shell;C;Batchfile;CMake,SICKAG/sick_scan_xd,humble|jazzy|kilted
sicks300_ros2,ajtudela,Driver for the Sick S300 Safety laser scanners with an interface for ROS 2,https://github.com/ajtudela/sicks300_ros2,117,6,2,0,driver;laser;lifecycle;ros;ros2;s300;sick,Apache-2.0,True,False,False,False,False,True,good first issue,1,76,2022-05-27T12:18:02Z,12,2320,0,docs,User,117,3,6,C++;Python;CMake,ajtudela/sicks300_ros2,humble|jazzy|kilted
simple_actions,DLu,A simple version of the rclpy/rclcpp action libraries.,https://github.com/DLu/simple_actions,39,22,6,2,,BSD-3-Clause,True,False,False,False,False,True,good first issue,3,25,2022-08-08T18:53:43Z,2,27,0,docs,User,39,1,22,C++;Python;CMake,DLu/simple_actions,humble|jazzy|kilted
simple_grasping,mikeferguson,ROS components for grasping,https://github.com/mikeferguson/simple_grasping,56,61,37,2,grasping;manipulation;robotics;ros;ros2,BSD-3-Clause,True,False,False,False,False,False,,2,35,2015-03-17T19:29:38Z,1,2,0,docs,User,56,7,61,C++;CMake;Python,mikeferguson/simple_grasping,humble|jazzy|kilted
simple_launch,oKermorgant,This package provides a Python class to help writing ROS 2 launch files.,https://github.com/oKermorgant/simple_launch,262,95,8,0,,MIT,True,False,False,False,False,True,good first issue,3,176,2020-06-12T20:46:06Z,12,934,0,docs,User,262,7,95,Python;CMake,oKermorgant/simple_launch,humble|jazzy|kilted
simple-term-menu,clearpathrobotics,A Python package which creates simple interactive menus on the command line.,https://github.com/clearpathrobotics/simple-term-menu,586,0,0,0,,MIT,True,False,False,False,False,True,good first issue,11,241,2019-08-14T14:19:39Z,1,0,0,code,Organization,586,0,0,Python;CMake,clearpathrobotics/simple-term-menu,humble|jazzy
simulation_interfaces,ros-simulation,Standard interfaces for interacting with simulators from ROS 2,https://github.com/ros-simulation/simulation_interfaces,49,126,14,7,,Apache-2.0,True,False,False,False,False,True,good first issue,9,44,2024-12-06T23:27:40Z,2,203,0,docs,Organization,49,21,126,CMake,ros-simulation/simulation_interfaces,humble|jazzy|kilted
